Existing entries: 3228
Need to collect: 1772 more entries

Saved batch | Checked: 1935 | Collected: 100

Saved batch | Checked: 2098 | Collected: 200

Saved batch | Checked: 2255 | Collected: 300

Saved batch | Checked: 2395 | Collected: 400

Saved batch | Checked: 2551 | Collected: 500

Saved batch | Checked: 2688 | Collected: 600

Saved batch | Checked: 2857 | Collected: 700

Saved batch | Checked: 3013 | Collected: 800

Saved batch | Checked: 3171 | Collected: 900

Saved batch | Checked: 3324 | Collected: 1000

Saved batch | Checked: 3475 | Collected: 1100

Saved batch | Checked: 3618 | Collected: 1200

Saved batch | Checked: 3784 | Collected: 1300

Saved batch | Checked: 3939 | Collected: 1400

Saved batch | Checked: 4110 | Collected: 1500

Saved batch | Checked: 4267 | Collected: 1600

Saved batch | Checked: 4422 | Collected: 1700

Done! Final CSV has 5000 entries
